-300,-384,-514,-707,-757,-754,-730,-666,-643,-572,-509,-490,-419,-323,-284,-234,-78,144,321,509
656,761,854,797,544,209,-43,-243,-433,-425,-294,-311,-374,-483,-588,-550,-425,-396,-427,-426
-366,-297,-155,55,176,348,643,713,553,366,214,132,83,129,171,98,48,-3,-85,-152
-180,-114,-77,-119,-272,-553,-701,-585,-370,-165,-32,45,95,173,318,433,417,317,220,118
122,360,719,919,788,649,557,381,192,62,86,152,197,114,-57,-250,-408,-474,-577,-609
-507,-387,-215,-54,130,346,477,599,607,513,497,481,371,253,187,151,114,43,-67,-208
-294,-293,-314,-423,-514,-544,-578,-511,-360,-260,-184,-130,-106,-119,-170,-198,-255,-367,-374,-384
-418,-372,-304,-242,-164,-73,64,133,94,-21,-176,-314,-341,-267,-133,32,76,20,-48,-128
-195,-224,-226,-205,-153,-37,41,58,125,200,277,372,433,424,417,408,304,176,120,47
-126,-301,-444,-492,-489,-543,-509,-423,-372,-353,-415,-407,-304,-229,-189,-232,-379,-428,-439,-472
-462,-389,-163,40,162,361,701,944,1028,1120,1248,1357,1388,1374,1286,1219,1218,1096,839,594
271,-97,-385,-603,-790,-882,-909,-909,-929,-1018,-1060,-1038,-1091,-1133,-1030,-727,-272,140,584,1040
1256,1348,1436,1227,1040,1035,961,946,675,223,-121,-428,-745,-1162,-1512,-1692,-1782,-1885,-1874,-1709
-1441,-1085,-821,-465,211,804,1186,1612,1946,2017,2201,2376,2394,2297,1919,1464,893,270,-260,-695
-1157,-1655,-1988,-2035,-1988,-1901,-1855,-1827,-1517,-861,-234,-245,-498,-408,-292,-286,-101,159,193,265
722,977,791,626,687,691,686,774,747,727,656,438,137,-122,-184,-164,-218,-184,-173,-348
-405,-238,50,350,478,524,491,324,279,256,97,75,36,-98,-167,-289,-517,-710,-863,-932
-960,-1041,-1132,-1151,-1098,-1000,-617,-264,-172,10,445,965,1405,1697,1929,1941,1713,1448,1213,1039
926,801,618,431,199,132,165,-5,-209,-306,-245,-45,271,359,283,307,327,377,318,323
353,98,-134,-112,-110,-271,-423,-480,-727,-1130,-1233,-837,-254,7,-102,-194,-317,-397,-322,-215
-39,52,177,358,376,321,243,352,554,599,539,579,495,243,96,-32,-65,137,297,349
351,305,163,9,38,326,655,815,894,975,841,422,-59,-385,-642,-941,-1173,-1362,-1636,-1867
-1898,-1813,-1643,-1367,-984,-648,-467,-507,-617,-394,-34,93,137,242,478,767,821,725,602,486
428,280,15,-161,-216,-212,-168,-130,-203,-347,-305,-256,-366,-466,-495,-492,-422,-303,-216,-129
-50,75,117,74,-41,-137,-67,168,277,262,265,352,383,326,265,67,-218,-259,-274,-483
-603,-494,-309,-74,219,440,573,627,654,697,624,498,483,363,199,208,330,380,476,706
738,541,293,57,-125,-194,-188,-192,-152,13,148,193,195,161,88,77,154,134,105,119
78,-7,-33,67,160,224,192,7,-225,-319,-278,-235,-157,-71,-6,-14,-103,-88,20,43
-3,-54,-157,-227,-171,-174,-253,-268,-209,-143,-91,-85,-169,-330,-402,-368,-343,-230,-58,17
38,71,64,128,161,94,59,144,264,346,367,293,162,-31,-247,-467,-653,-697,-659,-681
-739,-751,-688,-514,-273,-100,-78,-96,-92,-130,-259,-349,-359,-370,-386,-402,-377,-403,-409,-323
-237,-144,17,127,129,173,252,368,528,710,851,840,769,812,810,732,784,826,803,807
734,557,324,61,-298,-626,-876,-1132,-1283,-1347,-1348,-1275,-1183,-1010,-745,-499,-428,-491,-148,374
594,749,1005,1239,1138,959,828,682,530,449,254,-5,-214,-373,-397,-405,-553,-628,-672,-817
-857,-733,-580,-475,-370,-240,-27,386,744,870,1080,1456,1803,1884,1768,1489,1095,843,368,-69
